"","X","name","date_time","price","brand","model","year","title_status","mileage","color","vin","lot","state","country","condition","month","part_of_day","state_name","state_code","first_name","condition_in_hours","mileage_group"
"13",12,"Mr Trupke, Tim","08-21-2020 14:40:00",31900,"chevrolet","1500",2018,"clean vehicle",22909,"black","  3gcukrec0jg176059",167763273,"tennessee"," usa","22 hours left","August","Aftrenoon","tennessee","TN","Tim","22 hours left","Group 1"
"14",13,"Socha, Melissa","07-15-2020 20:10:00",5430,"chrysler","wagon",2017,"clean vehicle",138650,"gray","  2c4rc1cg5hr616095",167656123,"texas"," usa","2 days left","July","Evening","texas","TX","Melissa","48 hours left","Group 3"
"15",14,"Gutzman, Todd","09-04-2021 12:40:00",20700,"ford","door",2013,"clean vehicle",100757,"black","  1ftfw1et7dfa47790",167753916,"virginia"," usa","22 hours left","September","Aftrenoon","virginia","VA","Todd","22 hours left","Group 2"
"16",15,"Socha, Melissa","01-03-2021 14:40:00",12710,"gmc","door",2017,"clean vehicle",25747,"white","  1gks2gkc6hr328389",167692497,"california"," usa","20 hours left","January","Aftrenoon","california","CA","Melissa","20 hours left","Group 1"
"17",16,"Mr Trupke, Tim","07-16-2019 17:10:00",5200,"kia","forte",2018,"clean vehicle",46194,"blue","  3kpfk4a77je198723",167801757,"north carolina"," usa","2 days left","July","Aftrenoon","north carolina","NC","Tim","48 hours left","Group 1"
"18",17,"Mrs Karas, Phil","09-24-2020 12:20:00",16500,"buick","encore",2018,"clean vehicle",20002,"red","  kl4cj1sb6jb688844",167763275,"tennessee"," usa","22 hours left","September","Aftrenoon","tennessee","TN","Phil","22 hours left","Group 1"
"19",18,"Baker, Pat","09-11-2019 22:20:00",5210,"ford","mpv",2017,"clean vehicle",35714,"white","  2fmpk3j95hbb73607",167656124,"texas"," usa","2 days left","September","Night","texas","TX","Pat","48 hours left","Group 1"
"20",19,"Halla, Al","10-08-2019 16:30:00",38100,"ford","door",2013,"clean vehicle",54380,"gray","  1ft8w3dt5deb68569",167753923,"virginia"," usa","22 hours left","October","Aftrenoon","virginia","VA","Al","22 hours left","Group 2"
"21",20,"Froelich, Francis","08-16-2019 21:10:00",12520,"gmc","door",2017,"clean vehicle",30114,"white","  1gks2gkcxhr328380",167692498,"california"," usa","20 hours left","August","Evening","california","CA","Francis","20 hours left","Group 1"
"22",21,"Mrs Karas, Phil","06-01-2020 13:30:00",7300,"kia","forte",2018,"clean vehicle",38823,"black","  3kpfl4a79je272611",167801773,"north carolina"," usa","2 days left","June","Aftrenoon","north carolina","NC","Phil","48 hours left","Group 1"
"23",22,"Nitka, Clarence","08-27-2019 13:10:00",15000,"chevrolet","door",2015,"clean vehicle",61578,"black","  2gnflhe33f6214023",167763280,"ohio"," usa","2 days left","August","Aftrenoon","ohio","OH","Clarence","48 hours left","Group 2"
"24",23,"Nitka, Clarence","09-14-2020 14:30:00",6180,"ford","mpv",2017,"clean vehicle",46010,"blue","  2fmpk3j84hbc09276",167656125,"texas"," usa","2 days left","September","Aftrenoon","texas","TX","Clarence","48 hours left","Group 1"
"25",24,"Mahlik, Nick","09-09-2019 21:00:00",20800,"ford","door",2013,"clean vehicle",105510,"silver","  1ftfw1efxdfa01008",167753937,"virginia"," usa","22 hours left","September","Evening","virginia","VA","Nick","22 hours left","Group 3"
"26",25,"Miss Knedle, Katherine","03-03-2020 10:50:00",11900,"gmc","door",2017,"clean vehicle",28040,"silver","  1gks2gkc2hr327918",167692503,"california"," usa","20 hours left","March","Morning","california","CA","Katherine","20 hours left","Group 1"
"27",26,"Raboin, Chase","05-11-2019 17:20:00",21500,"kia","sorento",2020,"clean vehicle",11451,"blue","  5xypg4a59lg616029",167801828,"north carolina"," usa","2 days left","May","Aftrenoon","north carolina","NC","Chase","48 hours left","Group 1"
"28",27,"Froelich, Francis","03-01-2020 09:00:00",12000,"buick","door",2014,"clean vehicle",31039,"brown","  1g4ps5sk1e4188639",167763299,"ohio"," usa","2 days left","March","Morning","ohio","OH","Francis","48 hours left","Group 1"
"29",28,"Kawula, Amy","01-06-2020 22:20:00",4190,"ford","doors",2017,"clean vehicle",44174,"white","  1fadp5auxhl109013",167656126,"texas"," usa","2 days left","January","Night","texas","TX","Amy","48 hours left","Group 1"
"30",29,"VanDenHoven, Bob","03-18-2021 12:20:00",13000,"ford","chassis",2008,"clean vehicle",93698,"white","  1fdwf37r28eb95687",167754098,"tennessee"," usa","22 hours left","March","Aftrenoon","tennessee","TN","Bob","22 hours left","Group 2"
"31",30,"Wheeler, Mike","03-31-2020 09:40:00",12710,"gmc","door",2017,"clean vehicle",26364,"silver","  1gks2gkc6hr326335",167692504,"california"," usa","20 hours left","March","Morning","california","CA","Mike","20 hours left","Group 1"
"32",31,"Mr Reimer, Dick","07-24-2019 14:30:00",18500,"infiniti","q70",2016,"clean vehicle",71967,"gray","  jn1by1ar7gm271292",167801920,"new york"," usa","19 hours left","July","Aftrenoon","new york","NY","Dick","19 hours left","Group 2"
"33",32,"Froelich, Francis","06-21-2019 20:20:00",29800,"chevrolet","camaro",1973,"clean vehicle",46226,"red","  1q87t3n166389",167763370,"pennsylvania"," usa","22 hours left","June","Evening","pennsylvania","PA","Francis","22 hours left","Group 1"
"34",33,"Holewinski, Gene","06-21-2019 19:00:00",5330,"ford","mpv",2017,"clean vehicle",37792,"no_color","  2fmpk3j9xhbb56401",167656127,"texas"," usa","2 days left","June","Evening","texas","TX","Gene","48 hours left","Group 1"
"35",34,"Klinowski, Bill","07-16-2019 16:40:00",13000,"ford","convertible",2003,"clean vehicle",58817,"gray","  1fahp60a63y107799",167754173,"virginia"," usa","22 hours left","July","Aftrenoon","virginia","VA","Bill","22 hours left","Group 2"
"36",35,"Gutzman, Todd","03-15-2020 16:00:00",11900,"gmc","door",2017,"clean vehicle",27965,"black","  1gks2gkc2hr328793",167692507,"california"," usa","20 hours left","March","Aftrenoon","california","CA","Todd","20 hours left","Group 1"
"37",36,"Raboin, Chase","10-02-2021 10:40:00",16600,"mercedes-benz","vans",2016,"clean vehicle",110907,"white","  8btpe7dd4ge127040",167802259,"new york"," usa","19 hours left","October","Morning","new york","NY","Chase","19 hours left","Group 3"
"38",37,"Badura, Shannon","10-24-2019 14:20:00",19200,"chevrolet","1500",2018,"clean vehicle",2430,"white","  1gcncneh5jz302471",167763391,"tennessee"," usa","22 hours left","October","Aftrenoon","tennessee","TN","Shannon","22 hours left","Group 1"
"39",38,"Wheeler, Mike","04-11-2020 21:10:00",7320,"ford","mpv",2017,"clean vehicle",32366,"gold","  2fmpk4k96hbb16692",167656128,"texas"," usa","2 days left","April","Evening","texas","TX","Mike","48 hours left","Group 1"
"40",39,"Mrs Karas, Phil","03-13-2020 22:40:00",7000,"ford","pk",2003,"clean vehicle",176567,"white","  1ftnx20p73ed69682",167754187,"tennessee"," usa","22 hours left","March","Night","tennessee","TN","Phil","22 hours left","Group 4"
"41",40,"Kananen, Jeff","04-29-2020 10:00:00",12710,"gmc","door",2017,"clean vehicle",30049,"white","  1gks2gkc6hr325461",167692508,"california"," usa","20 hours left","April","Morning","california","CA","Jeff","20 hours left","Group 1"
"42",41,"Froelich, Francis","10-02-2021 19:30:00",16600,"mercedes-benz","vans",2016,"clean vehicle",97983,"white","  wd4pe7dd1gp253504",167802269,"new york"," usa","19 hours left","October","Evening","new york","NY","Francis","19 hours left","Group 2"
"43",42,"Gustafson, Bob","02-01-2020 20:10:00",30500,"chevrolet","1500",2018,"clean vehicle",30442,"red","  3gcukrec4jg204915",167763393,"tennessee"," usa","22 hours left","February","Evening","tennessee","TN","Bob","22 hours left","Group 1"
"44",43,"Mrs Karas, Phil","02-17-2020 14:00:00",6330,"ford","mpv",2017,"clean vehicle",38123,"red","  2fmpk3j85hbb79415",167656129,"texas"," usa","2 days left","February","Aftrenoon","texas","TX","Phil","48 hours left","Group 1"
"45",44,"Miss Knedle, Katherine","05-17-2019 12:00:00",55000,"ford","srw",2017,"clean vehicle",15273,"black","  1ft7w3bt5hee88155",167754310,"pennsylvania"," usa","3 days left","May",NA,"pennsylvania","PA","Katherine","72 hours left","Group 1"
"46",45,"Jacobson, Jeff","06-28-2019 09:50:00",12520,"gmc","door",2017,"clean vehicle",28972,"black","  1gks2gkcxhr324555",167692509,"california"," usa","20 hours left","June","Morning","california","CA","Jeff","20 hours left","Group 1"
"47",46,"Baker, Pat","02-21-2020 19:00:00",16200,"jeep","compass",2019,"clean vehicle",30061,"red","  3c4njccb3kt676336",167802530,"north carolina"," usa","2 days left","February","Evening","north carolina","NC","Pat","48 hours left","Group 1"
"48",47,"Mahlik, Nick","07-12-2020 21:50:00",19000,"chevrolet","malibu",2017,"clean vehicle",18414,"white","  1g1zh5sx9hf118136",167763675,"tennessee"," usa","22 hours left","July","Evening","tennessee","TN","Nick","22 hours left","Group 1"
"49",48,"Mr Trupke, Tim","09-02-2020 18:10:00",5580,"dodge","mpv",2017,"clean vehicle",46829,"gray","  3c4pddeg7ht595704",167656130,"texas"," usa","2 days left","September","Evening","texas","TX","Tim","48 hours left","Group 1"
"50",49,"Kline, Kent","02-20-2021 16:00:00",54000,"ford","srw",2017,"clean vehicle",26241,"black","  1ft7w3bt0hef02785",167754311,"pennsylvania"," usa","3 days left","February","Aftrenoon","pennsylvania","PA","Kent","72 hours left","Group 1"
"51",50,"Kline, Kent","05-15-2020 19:20:00",12710,"gmc","mpv",2017,"clean vehicle",39886,"red","  1gks2bkc7hr133811",167692513,"california"," usa","20 hours left","May","Evening","california","CA","Kent","20 hours left","Group 1"
"52",51,"Gutzman, Todd","07-06-2020 19:00:00",16000,"jeep","compass",2019,"clean vehicle",31594,"silver","  3c4njccb0kt676343",167802531,"north carolina"," usa","2 days left","July","Evening","north carolina","NC","Todd","48 hours left","Group 1"
"53",52,"Rautmann, Orval","04-15-2020 12:20:00",27000,"buick","enclave",2017,"clean vehicle",32107,"no_color","  5gakrckdxhj113512",167763677,"tennessee"," usa","22 hours left","April","Aftrenoon","tennessee","TN","Orval","22 hours left","Group 1"
"54",53,"Utech, Carol","12-19-2019 20:30:00",7760,"ford","mpv",2017,"clean vehicle",44794,"gray","  2fmpk4j87hbb21750",167656131,"texas"," usa","2 days left","December","Evening","texas","TX","Carol","48 hours left","Group 1"
"55",54,"Kawula, Amy","09-09-2020 18:30:00",19600,"chrysler","300",2019,"clean vehicle",42648,"gray","  2c3ccabgxkh559658",167754404,"south carolina"," usa","22 hours left","September","Evening","south carolina","SC","Amy","22 hours left","Group 1"
"56",55,"Wheeler, Mike","11-15-2020 18:10:00",12920,"gmc","mpv",2017,"clean vehicle",39165,"silver","  1gks2bkc6hr134450",167692514,"california"," usa","20 hours left","November","Evening","california","CA","Mike","20 hours left","Group 1"
"57",56,"Baker, Pat","02-18-2020 11:00:00",20000,"jeep","cherokee",2019,"clean vehicle",38355,"charcoal","  1c4pjmbx6kd298806",167802532,"north carolina"," usa","2 days left","February","Morning","north carolina","NC","Pat","48 hours left","Group 1"
"58",57,"VanDenHoven, Bob","12-06-2019 16:20:00",18100,"buick","door",2017,"clean vehicle",46766,"silver","  1g4zp5ss8hu149142",167763681,"florida"," usa","2 days left","December","Aftrenoon","florida","FL","Bob","48 hours left","Group 1"
"59",58,"Mayer, Lori","02-20-2021 20:00:00",23000,"chrysler","pacifica",2020,"clean vehicle",2473,"white","  2c4rc1fg5lr143335",167656205,"ohio"," usa","2 days left","February","Evening","ohio","OH","Lori","48 hours left","Group 1"
"60",59,"Kananen, Jeff","10-10-2020 12:30:00",18500,"chrysler","300",2019,"clean vehicle",38586,"gray","  2c3ccaeg5kh585628",167754410,"south carolina"," usa","22 hours left","October","Aftrenoon","south carolina","SC","Jeff","22 hours left","Group 1"
"61",60,"Baker, Pat","01-12-2020 12:10:00",13490,"gmc","door",2017,"clean vehicle",27842,"white","  1gks2gkc0hr323625",167692515,"california"," usa","20 hours left","January","Aftrenoon","california","CA","Pat","20 hours left","Group 1"
"62",61,"Mayer, Lori","05-27-2019 11:00:00",20700,"jeep","cherokee",2019,"clean vehicle",31156,"white","  1c4pjmbx2kd360704",167802533,"north carolina"," usa","2 days left","May","Morning","north carolina","NC","Lori","48 hours left","Group 1"
"63",62,"Mr Reimer, Dick","12-17-2020 11:20:00",17800,"chevrolet","door",2017,"clean vehicle",52435,"black","  1g1fb1rsxh0185712",167763683,"florida"," usa","22 hours left","December","Morning","florida","FL","Dick","22 hours left","Group 2"
"64",63,"Mayer, Lori","06-23-2020 19:50:00",6650,"ford","door",2017,"clean vehicle",29942,"black","  1fmcu0gd8huc93883",167656254,"texas"," usa","2 days left","June","Evening","texas","TX","Lori","48 hours left","Group 1"
"65",64,"Jacobson, Jeff","06-03-2021 21:50:00",29100,"chrysler","pacifica",2019,"clean vehicle",25281,"red","  2c4rc1gg3kr730663",167754412,"south carolina"," usa","22 hours left","June","Evening","south carolina","SC","Jeff","22 hours left","Group 1"
"66",65,"Kline, Kent","08-28-2019 15:50:00",12710,"gmc","door",2017,"clean vehicle",32504,"silver","  1gks2gkc6hr327937",167692524,"california"," usa","20 hours left","August","Aftrenoon","california","CA","Kent","20 hours left","Group 1"
"67",66,"Pascoe, Paul","01-31-2020 20:30:00",21100,"jeep","cherokee",2019,"clean vehicle",28649,"silver","  1c4pjmbx6kd298174",167802534,"north carolina"," usa","2 days left","January","Evening","north carolina","NC","Paul","48 hours left","Group 1"
"68",67,"Ms BenDixen, Lonnie","11-09-2020 22:00:00",18600,"chevrolet","door",2017,"clean vehicle",35200,"white","  1g1fb1rsxh0104806",167763684,"florida"," usa","22 hours left","November",NA,"florida","FL","Lonnie","22 hours left","Group 1"
"69",68,"Francour, Lisa","04-03-2021 13:50:00",4340,"ford","door",2017,"clean vehicle",25602,"silver","  1fmcu0gd7huc86259",167656255,"texas"," usa","2 days left","April","Aftrenoon","texas","TX","Lisa","48 hours left","Group 1"
"70",69,"VanDenHoven, Bob","07-03-2021 19:20:00",19300,"chrysler","300",2019,"clean vehicle",34801,"gray","  2c3ccakg4kh594972",167754413,"south carolina"," usa","22 hours left","July","Evening","south carolina","SC","Bob","22 hours left","Group 1"
"71",70,"Ms Schoen, Lisa","11-07-2020 20:50:00",12780,"gmc","door",2017,"clean vehicle",31009,"black","  1gks2gkc7hr321306",167692525,"california"," usa","20 hours left","November","Evening","california","CA","Lisa","20 hours left","Group 1"
"72",71,"Miss Knedle, Katherine","01-29-2021 22:10:00",15800,"jeep","compass",2019,"clean vehicle",35595,"charcoal","  3c4njccb4kt662767",167802541,"north carolina"," usa","2 days left","January","Night","north carolina","NC","Katherine","48 hours left","Group 1"
"73",72,"Ms BenDixen, Lonnie","04-03-2021 16:50:00",29400,"bmw","x3",2017,"clean vehicle",23765,"black","  5uxwx7c3xh0u44145",167763685,"tennessee"," usa","22 hours left","April","Aftrenoon","tennessee","TN","Lonnie","22 hours left","Group 1"
"74",73,"Miss Knedle, Katherine","04-22-2021 16:40:00",4430,"ford","door",2017,"clean vehicle",31792,"black","  1fmcu0gd9huc37922",167656256,"texas"," usa","2 days left","April","Aftrenoon","texas","TX","Katherine","48 hours left","Group 1"
"75",74,"Trimberger, Jason","11-11-2020 12:10:00",19400,"chrysler","300",2019,"clean vehicle",33135,"gray","  2c3ccakg6kh578112",167754417,"south carolina"," usa","22 hours left","November","Aftrenoon","south carolina","SC","Jason","22 hours left","Group 1"
"76",75,"Mahlik, Nick","01-14-2020 21:10:00",12520,"gmc","door",2017,"clean vehicle",30636,"red","  1gks2gkcxhr323969",167692526,"california"," usa","20 hours left","January","Evening","california","CA","Nick","20 hours left","Group 1"
"77",76,"Mr Reimer, Dick","07-25-2019 19:10:00",15900,"jeep","compass",2019,"clean vehicle",34502,"red","  3c4njccb7kt660088",167802543,"north carolina"," usa","2 days left","July","Evening","north carolina","NC","Dick","48 hours left","Group 1"
"78",77,"Jacobson, Jeff","03-15-2021 14:10:00",26400,"buick","door",2017,"clean vehicle",25434,"white","  5gakvckd2hj308564",167763690,"florida"," usa","22 hours left","March","Aftrenoon","florida","FL","Jeff","22 hours left","Group 1"
"79",78,"Rautmann, Orval","01-22-2020 17:10:00",4140,"ford","door",2017,"clean vehicle",36732,"black","  1fmcu0gd5hud08310",167656257,"texas"," usa","2 days left","January","Aftrenoon","texas","TX","Orval","48 hours left","Group 1"
"80",79,"Nitka, Clarence","10-04-2020 20:50:00",18300,"chrysler","300",2019,"clean vehicle",41792,"gray","  2c3ccaeg0kh555632",167754420,"south carolina"," usa","22 hours left","October","Evening","south carolina","SC","Clarence","22 hours left","Group 1"
"81",80,"Froelich, Francis","06-15-2019 19:10:00",12520,"gmc","door",2017,"clean vehicle",31992,"black","  1gks2gkcxhr328718",167692527,"california"," usa","20 hours left","June","Evening","california","CA","Francis","20 hours left","Group 1"
"82",81,"Gustafson, Bob","07-28-2019 12:00:00",17900,"jeep","compass",2019,"clean vehicle",32501,"red","  3c4njddb7kt682015",167802544,"north carolina"," usa","2 days left","July",NA,"north carolina","NC","Bob","48 hours left","Group 1"
"83",82,"Socha, Melissa","06-14-2020 15:30:00",18300,"chevrolet","camaro",2017,"clean vehicle",28395,"black","  1g1fb3dx5h0143964",167763691,"florida"," usa","22 hours left","June","Aftrenoon","florida","FL","Melissa","22 hours left","Group 1"
"84",83,"Kline, Kent","01-02-2020 22:00:00",4640,"ford","door",2017,"clean vehicle",36139,"blue","  1fmcu0g95huc13712",167656258,"texas"," usa","2 days left","January",NA,"texas","TX","Kent","48 hours left","Group 1"
"85",84,"Ms BenDixen, Lonnie","09-01-2021 22:30:00",24000,"ford","door",2016,"clean vehicle",84413,"black","  1ftfw1ef1gfb13670",167754527,"pennsylvania"," usa","3 days left","September","Night","pennsylvania","PA","Lonnie","72 hours left","Group 2"
"86",85,"Kananen, Jeff","03-14-2020 11:30:00",13200,"gmc","door",2017,"clean vehicle",33457,"white","  1gks2gkc5hr326410",167692528,"california"," usa","20 hours left","March","Morning","california","CA","Jeff","20 hours left","Group 1"
"87",86,"Klinowski, Bill","08-29-2020 22:00:00",18000,"jeep","compass",2019,"clean vehicle",29245,"gray","  3c4njddb0kt686052",167802545,"north carolina"," usa","2 days left","August",NA,"north carolina","NC","Bill","48 hours left","Group 1"
"88",87,"McDonald, Tom","09-12-2020 17:50:00",14900,"chevrolet","equinox",2017,"clean vehicle",12783,"silver","  2gnalcek7h1548351",167763692,"florida"," usa","22 hours left","September","Aftrenoon","florida","FL","Tom","22 hours left","Group 1"
"89",88,"Jacobson, Jeff","05-13-2019 13:50:00",4140,"ford","door",2017,"clean vehicle",17617,"white","  1fmcu0gd5huc78080",167656259,"texas"," usa","2 days left","May","Aftrenoon","texas","TX","Jeff","48 hours left","Group 1"
"90",89,"Ms Schoen, Lisa","12-13-2019 18:40:00",11500,"ford","door",2016,"clean vehicle",36855,"black","  1fmcu9gx9gua57286",167754531,"pennsylvania"," usa","2 days left","December","Evening","pennsylvania","PA","Lisa","48 hours left","Group 1"
"91",90,"Cousineau, Tom","07-31-2019 21:30:00",9110,"ford","door",2017,"clean vehicle",110316,"white","  1ftfw1ef5hkc50264",167656356,"texas"," usa","2 days left","July","Evening","texas","TX","Tom","48 hours left","Group 3"
"92",91,"Mayer, Lori","12-31-2019 17:30:00",7350,"chrysler","door",2015,"clean vehicle",88227,"black","  1c3cccab7fn613884",167755375,"pennsylvania"," usa","2 days left","December","Aftrenoon","pennsylvania","PA","Lori","48 hours left","Group 2"
"93",92,"Klinowski, Bill","12-14-2020 19:30:00",24500,"bmw","door",2017,"clean vehicle",17626,"gray","  wba4f9c51hg439932",167765094,"michigan"," usa","2 days left","December","Evening","michigan","MI","Bill","48 hours left","Group 1"
"94",93,"Ms BenDixen, Lonnie","10-26-2020 10:20:00",9300,"ford","door",2017,"clean vehicle",120353,"white","  1ftfw1ef4hkc50286",167656357,"texas"," usa","2 days left","October","Morning","texas","TX","Lonnie","48 hours left","Group 3"
"95",94,"Wheeler, Mike","09-25-2019 10:10:00",39800,"dodge","challenger",2015,"clean vehicle",3641,"white","  2c3cdzc95fh757310",167755377,"pennsylvania"," usa","2 days left","September","Morning","pennsylvania","PA","Mike","48 hours left","Group 1"
"96",95,"Wheeler, Mike","09-23-2020 19:30:00",53500,"bmw","m",2017,"clean vehicle",29355,"blue","  5ymkt6c37h0x20696",167765095,"michigan"," usa","2 days left","September","Evening","michigan","MI","Mike","48 hours left","Group 1"
"97",96,"McDonald, Tom","09-30-2020 22:30:00",15110,"ford","door",2017,"clean vehicle",39333,"black","  1ft7w2bt7hec41164",167656358,"texas"," usa","2 days left","September","Night","texas","TX","Tom","48 hours left","Group 1"
"98",97,"Gutzman, Todd","06-08-2019 10:00:00",34000,"ford","door",2015,"clean vehicle",42930,"white","  1ft8w3b61fec52078",167755448,"pennsylvania"," usa","2 days left","June","Morning","pennsylvania","PA","Todd","48 hours left","Group 1"
"99",98,"Gustafson, Bob","03-26-2020 21:20:00",26502,"chevrolet","colorado",2017,"clean vehicle",24993,"black","  1gcgtcen4h1158648",167765108,"michigan"," usa","20 hours left","March","Evening","michigan","MI","Bob","20 hours left","Group 1"
"100",99,"Callahan, Mark","09-24-2020 16:10:00",5990,"ford","mpv",2017,"clean vehicle",44929,"black","  1fm5k7b86hga87008",167656359,"texas"," usa","2 days left","September","Aftrenoon","texas","TX","Mark","48 hours left","Group 1"
"101",100,"Badura, Shannon","06-14-2020 21:00:00",13600,"ford","focus",2018,"clean vehicle",16971,"black","  1fadp3m26jl307477",167755490,"south carolina"," usa","21 hours left","June","Evening","south carolina","SC","Shannon","21 hours left","Group 1"
"102",101,"Trimberger, Jason","07-22-2020 18:00:00",23605,"cadillac","door",2017,"clean vehicle",35598,"gray","  1gyknbrsxhz114969",167765109,"michigan"," usa","2 days left","July",NA,"michigan","MI","Jason","48 hours left","Group 1"
"103",102,"Wheeler, Mike","10-14-2020 21:00:00",10780,"ford","mpv",2017,"clean vehicle",40455,"white","  1fm5k8ht0hga07252",167656360,"texas"," usa","2 days left","October","Evening","texas","TX","Mike","48 hours left","Group 1"
"104",103,"Klinowski, Bill","08-26-2019 18:20:00",13800,"ford","focus",2018,"clean vehicle",23164,"white","  1fadp3j2xjl279400",167755491,"south carolina"," usa","21 hours left","August","Evening","south carolina","SC","Bill","21 hours left","Group 1"
"105",104,"Mrs Karas, Phil","10-28-2020 14:40:00",25201,"cadillac","door",2017,"clean vehicle",19011,"no_color","  1gyknbrs8hz257399",167765111,"michigan"," usa","2 days left","October","Aftrenoon","michigan","MI","Phil","48 hours left","Group 1"
"106",105,"Klinowski, Bill","03-26-2021 09:10:00",7070,"ford","mpv",2017,"clean vehicle",45191,"white","  1fm5k7d82hgb39148",167656361,"texas"," usa","2 days left","March","Morning","texas","TX","Bill","48 hours left","Group 1"
"107",106,"Hendricks, Dan","02-04-2020 16:30:00",8700,"ford","focus",2018,"clean vehicle",21405,"white","  1fadp3k23jl219764",167755494,"south carolina"," usa","21 hours left","February","Aftrenoon","south carolina","SC","Dan","21 hours left","Group 1"
"108",107,"McDonald, Tom","04-08-2019 10:40:00",18003,"chevrolet","malibu",2017,"clean vehicle",19117,"no_color","  1g1zh5sx7hf141060",167765112,"michigan"," usa","17 hours left","April","Morning","michigan","MI","Tom","17 hours left","Group 1"
"109",108,"Knipp, Rosalind","10-10-2019 12:20:00",8530,"ford","door",2017,"clean vehicle",42104,"black","  1fm5k7f80hga03159",167656362,"texas"," usa","2 days left","October","Aftrenoon","texas","TX","Rosalind","48 hours left","Group 1"
"110",109,"Kananen, Jeff","04-11-2019 22:10:00",23100,"dodge","durango",2018,"clean vehicle",49496,"white","  1c4rdjdg2jc329601",167755496,"south carolina"," usa","21 hours left","April","Night","south carolina","SC","Jeff","21 hours left","Group 1"
"111",110,"Baker, Pat","12-29-2020 13:10:00",24500,"cadillac","door",2017,"clean vehicle",32418,"white","  1gykndrs1hz125239",167765114,"michigan"," usa","2 days left","December","Aftrenoon","michigan","MI","Pat","48 hours left","Group 1"
"112",111,"Utech, Carol","09-11-2019 15:40:00",7000,"ford","mpv",2017,"clean vehicle",29882,"white","  1fm5k7d84hgc31359",167656363,"texas"," usa","2 days left","September","Aftrenoon","texas","TX","Carol","48 hours left","Group 1"
"113",112,"Mr Reimer, Dick","12-26-2020 14:50:00",17000,"ford","escape",2018,"clean vehicle",34819,"gold","  1fmcu9hd6juc54783",167755501,"south carolina"," usa","21 hours left","December","Aftrenoon","south carolina","SC","Dick","21 hours left","Group 1"
"114",113,"Nitka, Clarence","12-09-2020 12:50:00",34002,"chevrolet","1500",2017,"clean vehicle",31923,"white","  3gcuktej3hg475034",167765115,"michigan"," usa","2 days left","December","Aftrenoon","michigan","MI","Clarence","48 hours left","Group 1"
